"AFGHANISTAN","AFGHANISTAN"
"ALBANIA","ALBANIA"
"ALGERIA","ALGERIA"
"AMERICAN SAMOA","AMERICAN SAMOA"
"ANDORRA","ANDORRA"
"ANGOLA","ANGOLA"
"ANGUILLA","ANGUILLA"
"ANTIGUA AND BARBUDA","ANTIGUA AND BARBUDA"
"ARGENTINA","ARGENTINA"
"ARMENIA","ARMENIA"
"ARUBA","ARUBA"
"AUSTRALIA","AUSTRALIA"
"AUSTRIA","AUSTRIA"
"AZERBAIJAN","AZERBAIJAN"
"BAHAMAS, THE","BAHAMAS"
"BAHRAIN","BAHRAIN"
"BANGLADESH","BANGLADESH"
"BARBADOS","BARBADOS"
"BELARUS","BELARUS"
"BELGIUM","BELGIUM"
"BELIZE","BELIZE"
"BENIN","BENIN"
"BERMUDA","BERMUDA"
"BHUTAN","BHUTAN"
"BOLIVIA","BOLIVIA"
"BOSNIA AND HERZEGOVINA","BOSNIA AND HERZEGOVINA"
"BOTSWANA","BOTSWANA"
"BRAZIL","BRAZIL"
"BRITISH VIRGIN ISLANDS","BRITISH VIRGIN ISLANDS"
"BRUNEI","BRUNEI"
"BULGARIA","BULGARIA"
"BURKINA FASO","BURKINA FASO"
"BURUNDI","BURUNDI"
"CAMBODIA","CAMBODIA"
"CAMEROON","CAMEROON"
"CANADA","CANADA"
"CAPE VERDE","CAPE VERDE"
"CAYMAN ISLANDS, THE","CAYMAN ISLANDS"
"CENTRAL AFRICAN REPUBLIC","CENTRAL AFRICAN REPUBLIC"
"CHAD","CHAD"
"CHILE","CHILE"
"CHINA","CHINA"
"COLOMBIA","COLOMBIA"
"COMOROS","COMOROS"
"CONGO, DEMOCRATIC REPUBLIC OF THE","CONGO"
"CONGO, REPUBLIC OF THE","CONGO","REPUBLIC OF THE CONGO"
"COOK ISLANDS","COOK ISLANDS"
"CORSICA","FRANCE"
"COSTA RICA","COSTA RICA"
"CÔTE D'IVOIRE","IVORY COAST"
"CROATIA","CROATIA"
"CUBA","CUBA"
"CYPRUS","CYPRUS"
"CZECH REPUBLIC","CZECHIA"
"DENMARK","DENMARK"
"DJIBOUTI","DJIBOUTI"
"DOMINICA","DOMINICA"
"DOMINICAN REPUBLIC","DOMINICAN REPUBLIC"
"EAST TIMOR","DEMOCRATIC REPUBLIC OF TIMOR-LESTE"
"ECUADOR","ECUADOR"
"EGYPT","EGYPT"
"EL SALVADOR","EL SALVADOR"
"EQUATORIAL GUINEA","EQUATORIAL GUINEA"
"ERITREA","ERITREA"
"ESTONIA","ESTONIA"
"ETHIOPIA","ETHIOPIA"
"FAROE ISLANDS","FAROE ISLANDS"
"FIJI","FIJI"
"FINLAND","FINLAND"
"FRANCE","FRANCE"
"FRENCH GUIANA","FRENCH GUIANA"
"FRENCH POLYNESIA","FRENCH POLYNESIA"
"GABON","GABON"
"GAMBIA, THE","GAMBIA"
"GAZA STRIP","PALESTINE"
"GEORGIA","GEORGIA"
"GERMANY","GERMANY"
"GHANA","GHANA"
"GIBRALTAR","GIBRALTAR"
"GREECE","GREECE"
"GREENLAND","GREENLAND"
"GRENADA","GRENADA"
"GUADELOUPE","GUADELOUPE"
"GUAM","GUAM"
"GUATEMALA","GUATEMALA"
"GUERNSEY","GUERNSEY"
"GUINEA","GUINEA"
"GUINEA-BISSAU","GUINEA-BISSAU"
"GUYANA","GUYANA"
"HAITI","HAITI"
"HONDURAS","HONDURAS"
"HONG KONG","HONG KONG"
"HUNGARY","HUNGARY"
"ICELAND","ICELAND"
"INDIA","INDIA"
"INDONESIA","INDONESIA"
"IRAN","IRAN"
"IRAQ","IRAQ"
"IRELAND","IRELAND"
"ISLE OF MAN","ISLE OF MAN"
"ISRAEL","ISRAEL"
"ITALY","ITALY"
"JAMAICA","JAMAICA"
"JAPAN","JAPAN"
"JERSEY","JERSEY"
"JORDAN","HASHEMITE KINGDOM OF JORDAN"
"KAZAKHSTAN","KAZAKHSTAN"
"KENYA","KENYA"
"KIRIBATI","KIRIBATI"
"KOREA, NORTH","NORTH KOREA"
"KOREA, SOUTH","REPUBLIC OF KOREA"
"KOSOVO","KOSOVO"
"KUWAIT","KUWAIT"
"KYRGYZSTAN","KYRGYZSTAN"
"LAOS","LAOS"
"LATVIA","LATVIA"
"LEBANON","LEBANON"
"LESOTHO","LESOTHO"
"LIBERIA","LIBERIA"
"LIBYA","LIBYA"
"LIECHTENSTEIN","LIECHTENSTEIN"
"LITHUANIA","REPUBLIC OF LITHUANIA"
"LUXEMBOURG","LUXEMBOURG"
"MACAU","MACAO"
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF","MACEDONIA"
"MADAGASCAR","MADAGASCAR"
"MALAWI","MALAWI"
"MALAYSIA","MALAYSIA"
"MALDIVES","MALDIVES"
"MALI","MALI"
"MALTA","MALTA"
"MARSHALL ISLANDS","MARSHALL ISLANDS"
"MARTINIQUE","MARTINIQUE"
"MAURITANIA","MAURITANIA"
"MAURITIUS","MAURITIUS"
"MAYOTTE","MAYOTTE"
"MEXICO","MEXICO"
"MICRONESIA, FEDERATED STATES OF","FEDERATED STATES OF MICRONESIA"
"MOLDOVA","REPUBLIC OF MOLDOVA"
"MONACO","MONACO"
"MONGOLIA","MONGOLIA"
"MONTENEGRO","MONTENEGRO"
"MONTSERRAT","MONTSERRAT"
"MOROCCO","MOROCCO"
"MOZAMBIQUE","MOZAMBIQUE"
"MYANMAR","MYANMAR [BURMA]"
"NAMIBIA","NAMIBIA"
"NAURU","NAURU"
"NEPAL","NEPAL"
"NETHERLANDS","NETHERLANDS"
"NETHERLANDS ANTILLES","BONAIRE, SINT EUSTATIUS, AND SABA"
"NEW CALEDONIA","NEW CALEDONIA"
"NEW ZEALAND","NEW ZEALAND"
"NICARAGUA","NICARAGUA"
"NIGER","NIGER"
"NIGERIA","NIGERIA"
"NIUE","NIUE"
"NORFOLK ISLAND","NORFOLK ISLAND"
"NORTHERN MARIANA ISLANDS","NORTHERN MARIANA ISLANDS"
"NORWAY","NORWAY"
"OMAN","OMAN"
"PAKISTAN","PAKISTAN"
"PALAU","PALAU"
"PALESTINE","PALESTINE"
"PANAMA","PANAMA"
"PAPUA NEW GUINEA","PAPUA NEW GUINEA"
"PARAGUAY","PARAGUAY"
"PERU","PERU"
"PHILIPPINES","PHILIPPINES"
"POLAND","POLAND"
"PORTUGAL","PORTUGAL"
"PUERTO RICO","PUERTO RICO"
"QATAR","QATAR"
"REUNION","FRANCE","RÉUNION"
"ROMANIA","ROMANIA"
"RUSSIA","RUSSIA"
"RWANDA","RWANDA"
"SAINT KITTS AND NEVIS","ST KITTS AND NEVIS"
"SAINT LUCIA","SAINT LUCIA"
"SAINT PIERRE AND MIQUELON","SAINT PIERRE AND MIQUELON"
"SAINT VINCENT AND THE GRENADINES","SAINT VINCENT AND THE GRENADINES"
"SAMOA","SAMOA"
"SAN MARINO","SAN MARINO"
"SAO TOME AND PRINCIPE","SÃO TOMÉ AND PRÍNCIPE"
"SAUDI ARABIA","SAUDI ARABIA"
"SENEGAL","SENEGAL"
"SERBIA","SERBIA"
"SEYCHELLES","SEYCHELLES"
"SIERRA LEONE","SIERRA LEONE"
"SINGAPORE","SINGAPORE"
"SLOVAKIA","SLOVAKIA"
"SLOVENIA","SLOVENIA"
"SOLOMON ISLANDS","SOLOMON ISLANDS"
"SOMALIA","SOMALIA"
"SOUTH AFRICA","SOUTH AFRICA"
"SOUTH SUDAN","SOUTH SUDAN"
"SPAIN","SPAIN"
"SRI LANKA","SRI LANKA"
"ST. MAARTEN","SINT MARTIN"
"SUDAN","SUDAN"
"SURINAME","SURINAME"
"SWAZILAND","SWAZILAND"
"SWEDEN","SWEDEN"
"SWITZERLAND","SWITZERLAND"
"SYRIA","SYRIA"
"TAIWAN","TAIWAN"
"TAJIKISTAN","TAJIKISTAN"
"TANZANIA","TANZANIA"
"THAILAND","THAILAND"
"TOGO","TOGO"
"TONGA","TONGA"
"TRINIDAD AND TOBAGO","TRINIDAD AND TOBAGO"
"TUNISIA","TUNISIA"
"TURKEY","TURKEY"
"TURKMENISTAN","TURKMENISTAN"
"TURKS AND CAICOS ISLANDS","TURKS AND CAICOS ISLANDS"
"TUVALU","TUVALU"
"UGANDA","UGANDA"
"UKRAINE","UKRAINE"
"UNITED ARAB EMIRATES","UNITED ARAB EMIRATES"
"UNITED KINGDOM","UNITED KINGDOM"
"UNITED STATES OF AMERICA","UNITED STATES"
"UNITED STATES VIRGIN ISLANDS","U.S. VIRGIN ISLANDS"
"URUGUAY","URUGUAY"
"UZBEKISTAN","UZBEKISTAN"
"VANUATU","VANUATU"
"VATICAN CITY","VATICAN CITY"
"VENEZUELA","VENEZUELA"
"VIETNAM","VIETNAM"
"WALLIS AND FUTUNA","WALLIS AND FUTUNA"
"WEST BANK","PALESTINE"
"WESTERN SAHARA","WESTERN SAHARA"
"YEMEN","YEMEN"
"YUGOSLAVIA","SERBIA"
"ZAMBIA","ZAMBIA"
"ZIMBABWE","ZIMBABWE"